dat_ref,close_price,open_price,high_price,low_price,change_percentage
2025-07-10,147.76,141.3,147.76,141.3,4.57
2025-07-09,141.3,144.81,144.81,141.3,-2.42
2025-07-08,144.81,143.81,144.81,143.81,0.7
2025-07-07,143.81,139.37,143.81,139.37,3.19
2025-07-04,139.37,139.43,139.43,139.37,-0.04
2025-07-03,139.43,144.79,144.79,139.43,-3.7
2025-07-02,144.79,145.31,145.31,144.79,-0.36
2025-07-01,145.31,147.7,147.7,145.31,-1.62
2025-06-30,147.7,151.19,151.19,147.7,-2.31
2025-06-27,151.19,152.09,152.09,151.19,-0.59
2025-06-26,152.09,150.67,152.09,150.67,0.92
2025-06-25,150.7,149.64,150.7,149.64,0.67
2025-06-24,149.69,155.0,155.0,149.69,-3.73
2025-06-23,155.49,156.55,156.55,155.49,-0.68
2025-06-20,156.55,158.04,158.04,156.55,-0.94
2025-06-19,158.04,156.08,158.04,156.08,1.26
2025-06-18,156.08,151.6,156.08,151.6,2.96
2025-06-17,151.6,151.2,151.6,151.2,0.26
2025-06-16,151.2,152.18,152.18,151.2,-0.64
2025-06-13,152.18,149.62,152.18,149.62,1.71
2025-06-12,149.62,151.06,151.06,149.62,-0.95
2025-06-11,151.06,154.58,154.58,151.06,-2.28
2025-06-10,154.58,155.51,155.51,154.58,-0.6
2025-06-09,155.51,157.19,157.19,155.51,-1.1
2025-06-06,157.24,160.06,160.06,157.24,-1.76
2025-06-05,160.06,156.44,160.06,156.44,2.31
2025-06-04,156.44,155.1,156.44,155.1,0.86
2025-06-03,155.1,157.1,157.1,155.1,-1.27
2025-06-02,157.1,160.44,160.44,157.1,-2.08
2025-05-30,160.44,161.39,161.39,160.44,-0.59
2025-05-29,161.39,163.03,163.03,161.39,-1.01
2025-05-28,163.03,162.94,163.03,162.94,0.06
2025-05-27,162.94,168.86,168.86,162.94,-3.51
2025-05-26,168.86,168.78,168.86,168.78,0.05
2025-05-23,168.78,167.82,168.78,167.82,0.57
2025-05-22,167.82,164.99,167.82,164.99,1.72
2025-05-21,164.99,161.49,164.99,161.49,2.17
2025-05-20,161.49,165.37,165.37,161.49,-2.35
2025-05-19,165.37,164.93,165.37,164.93,0.27
2025-05-16,164.93,164.77,164.93,164.77,0.1
2025-05-15,164.77,162.5,164.77,162.5,1.4
2025-05-14,162.5,161.97,162.5,161.97,0.33
2025-05-13,161.97,163.1,163.1,161.97,-0.69
2025-05-12,163.1,177.11,177.11,163.1,-7.89
2025-05-09,177.07,177.84,177.84,177.07,-0.43
2025-05-08,177.84,177.59,177.84,177.59,0.12
2025-05-07,177.63,179.96,179.96,177.63,-1.31
2025-05-06,179.98,179.59,179.98,179.59,0.23
2025-05-05,179.57,179.81,179.81,179.57,-0.11
2025-05-02,179.77,182.18,182.18,179.77,-1.28
2025-05-01,182.1,181.91,182.1,181.91,0.1
2025-04-30,181.91,180.45,181.91,180.45,0.81
2025-04-29,180.45,183.37,183.37,180.45,-1.1
2025-04-28,182.46,181.48,182.46,181.48,-0.02
2025-04-25,182.49,182.36,182.49,182.36,-1.27
2025-04-24,184.83,191.41,191.41,184.83,-3.39
2025-04-23,191.31,198.19,198.19,191.31,-3.47
2025-04-22,198.19,194.07,198.19,194.07,2.14
2025-04-21,194.03,194.16,194.16,194.03,-0.07
2025-04-18,194.16,194.17,194.17,194.16,-0.01
2025-04-17,194.17,198.93,198.93,194.17,-2.39
2025-04-16,198.93,191.18,198.93,191.18,4.05
2025-04-15,191.18,192.94,192.94,191.18,-0.91
2025-04-14,192.94,198.35,198.35,192.94,-2.73
2025-04-11,198.35,197.98,198.35,197.98,0.19
2025-04-10,197.98,185.9,197.98,185.9,6.5
2025-04-09,185.9,210.58,210.58,185.9,-11.72
2025-04-08,210.58,200.24,210.58,200.24,5.16
2025-04-07,200.24,199.82,200.24,199.82,0.26
2025-04-04,199.72,188.78,199.72,188.78,5.8
2025-04-03,188.78,184.04,188.78,184.04,2.58
2025-04-02,184.04,182.86,184.04,182.86,0.65
2025-04-01,182.86,188.36,188.36,182.86,-2.92
