dat_ref,close_price,open_price,high_price,low_price,change_percentage
2025-07-18,3465.01,3475.04,3476.11,3464.55,-29
2025-07-17,3475.04,3475.33,3479.79,3472.67,-1
2025-07-16,3475.33,3479.31,3485.36,3472.43,-12
2025-07-15,3479.4,3483.86,3489.12,3477.73,-13
2025-07-14,3483.85,3483.2,3489.27,3482.99,2
2025-07-11,3483.22,3474.97,3483.45,3474.97,24
2025-07-10,3474.99,3482.58,3482.58,3465.6,-22
2025-07-09,3482.59,3486.43,3487.84,3481.46,-11
2025-07-08,3486.43,3491.69,3497.02,3485.49,-15
2025-07-07,3491.69,3495.42,3500.05,3489.71,-11
2025-07-04,3495.42,3481.8,3496.75,3481.64,39
2025-07-03,3481.84,3475.21,3482.5,3475.21,19
2025-07-02,3475.21,3474.87,3482.71,3470.89,1
2025-07-01,3474.88,3483.82,3485.38,3472.28,-26
2025-06-30,3483.77,3462.92,3484.06,3462.9,60
2025-06-27,3462.91,3449.55,3464.3,3449.29,39
2025-06-26,3449.55,3442.4,3451.3,3440.29,21
2025-06-25,3442.39,3434.16,3443.94,3431.43,24
2025-06-24,3434.16,3429.82,3435.25,3427.08,13
2025-06-23,3429.82,3436.7,3439.98,3424.57,-20
