dat_ref,fonte,titulo,link
2025-07-13,InfoMoney,Petróleo amplia ganhos com aumento de tarifas de Trump antes de ação sobre a Rússia,https://www.infomoney.com.br/mundo/petroleo-amplia-ganhos-com-aumento-de-tarifas-de-trump-antes-de-acao-sobre-a-russia/
2025-07-13,InfoMoney,Mercado futuro americano cai em meio ao tarifaço global de Trump,https://www.infomoney.com.br/business/global/mercado-futuro-americano-cai-em-meio-ao-tarifaco-global-de-trump/
2025-07-13,InfoMoney,"Com tarifas de Trump, americanos têm receio de ficar sem o cafezinho brasileiro",https://www.infomoney.com.br/business/global/new-york-times-com-tarifa-americanos-avaliam-como-vai-ser-sem-o-cafezinho-brasileiro/
2025-07-13,InfoMoney,Eduardo Bolsonaro grava novo vídeo pedindo que Trump puna Moraes e outros políticos,https://www.infomoney.com.br/politica/eduardo-bolsonaro-grava-novo-video-pedindo-que-trump-puna-moraes-e-outros-politicos/
2025-07-13,InfoMoney,"Ibovespa busca segurar suporte nos 135,5 mil pontos; dólar sofre pressão de alta",https://www.infomoney.com.br/mercados/ibovespa-busca-segurar-suporte-nos-1355-mil-pontos-dolar-sofre-pressao-de-alta/
2025-07-13,InfoMoney,Bitcoin renova máxima histórica e sobe mais de 27% no ano: até onde preço pode ir?,https://www.infomoney.com.br/mercados/bitcoin-renova-maxima-historica-e-sobe-mais-de-27-no-ano-ate-onde-preco-pode-ir/
2025-07-13,InfoMoney,"Taxa de 30% dos EUA pode reduzir PIB da UE em 0,4 p.p. e aproximar bloco da recessão",https://www.infomoney.com.br/mundo/taxa-de-30-dos-eua-pode-reduzir-pib-da-ue-em-04-p-p-e-aproximar-bloco-da-recessao/
2025-07-13,InfoMoney,Inflação dos EUA sobe com tarifas e vira alerta global sobre pressões de preços,https://www.infomoney.com.br/mercados/inflacao-dos-eua-sobe-com-tarifas-e-vira-alerta-global-sobre-pressoes-de-precos/
2025-07-13,InfoMoney,"Em meio aos ataques de Trump a Powell, assessor diz que governo investiga obra no Fed",https://www.infomoney.com.br/mundo/em-meio-aos-ataques-de-trump-a-powell-assessor-diz-que-governo-investiga-obra-no-fed/
2025-07-13,InfoMoney,Nasdaq e S&P sob ameaça? Tarifas colocam em xeque tendência de alta das bolsas,https://www.infomoney.com.br/mercados/nasdaq-e-sp-sob-ameaca-tarifas-colocam-em-xeque-tendencia-de-alta-das-bolsas/
2025-07-13,InfoMoney,"EUA já enviaram cartas com tarifas de Trump a 24 países, além da UE; veja a relação",https://www.infomoney.com.br/mundo/eua-ja-enviaram-cartas-com-tarifas-de-trump-a-24-paises-alem-da-ue-veja-a-relacao/
2025-07-13,InfoMoney,"Calendário econômico da semana: IBC-Br, IOF, inflação nos EUA e Livro Bege serão foco",https://www.infomoney.com.br/mercados/calendario-economico-da-semana-ibc-br-iof-inflacao-nos-eua-e-livro-bege-serao-foco/
