dat_ref,fonte,titulo,link
2025-07-13,MoneyTimes,24 países e a União Europeia já foram alvos na segunda rodada do ‘tarifaço’ de Trump; veja quais são,https://www.moneytimes.com.br/24-paises-e-a-uniao-europeia-ja-foram-alvos-na-segunda-rodada-do-tarifaco-de-trump-lils/
2025-07-13,MoneyTimes,"Itaú (ITUB4): O tamanho dos dividendos que banco pode pagar, segundo UBS BB",https://www.moneytimes.com.br/itau-itub4-a-porrada-de-dividendos-que-banco-pode-pagar-segundo-ubs-bb-rnda/
2025-07-13,MoneyTimes,"Cury (CURY3) entra, enquanto Petz (PETZ) e São Martinho (SMTO3) dão adeus ao Ibovespa em setembro, diz BofA",https://www.moneytimes.com.br/cury-cury3-entra-enquanto-petz-petz-e-sao-martinho-smto3-dao-adeus-ao-ibovespa-em-setembro-diz-bofa-lils/
2025-07-13,MoneyTimes,"Agenda Econômica: Inflação, atividade e dados da China movimentam a semana",https://www.moneytimes.com.br/agenda-economica-inflacao-atividade-e-dados-da-china-movimentam-a-semana-jals/
2025-07-13,MoneyTimes,Dividendos de até 19% ao ano? BTG Pactual seleciona 12 ações para investir neste mês,https://www.moneytimes.com.br/conteudo-de-marca/dividendos-19-ao-ano-btg-pactual-seleciona-12-acoes-para-investir-neste-mes-lbrd11sd020/
2025-07-13,MoneyTimes,União Europeia prorroga suspensão de contramedidas às tarifas dos EUA até agosto em busca de negociação,https://www.moneytimes.com.br/uniao-europeia-prorroga-suspensao-de-contramedidas-as-tarifas-dos-eua-ate-agosto-em-busca-de-negociacao-lils/
2025-07-13,MoneyTimes,S&P 500 nas máximas históricas: BofA vê poucos gatilhos para novas altas e prevê índice aos 6.300 pontos em dezembro deste ano,https://www.moneytimes.com.br/sp-500-nas-maximas-historicas-bofa-ve-poucos-gatilhos-para-novas-altas-e-preve-indice-aos-6-300-pontos-em-dezembro-deste-ano/
2025-07-13,MoneyTimes,"Considerado o trader mais lucrativo do Brasil, criador do Yubb lança estratégia automatizada de criptomoedas que busca transformar R$ 1 mil em até R$ 20 mil",https://www.moneytimes.com.br/conteudo-de-marca/considerado-o-trader-mais-lucrativo-do-brasil-criador-do-yubb-lanca-estrategia-automatizada-de-criptomoedas-que-busca-transformar-r-1-mil-em-ate-r-20-mil-lbrd7mp041/
2025-07-13,MoneyTimes,"É improvável que ‘tarifaço’ de Trump sobre o Brasil entre em vigor, segundo o UBS",https://www.moneytimes.com.br/e-improvavel-que-ao-tarifaco-de-trump-sobre-o-brasil-entre-em-vigor-segundo-o-ubs-lils/
2025-07-13,MoneyTimes,O recorde do bitcoin (BTC) — e uma necessária visita ao dentista,https://www.moneytimes.com.br/o-recorde-do-bitcoin-btc-e-uma-necessaria-visita-ao-dentista-rens/
2025-07-13,MoneyTimes,O básico que funciona? Empiricus recomenda ações da Petrobras (PETR4) no lugar da Prio (PRIO3) em carteira de julho,https://www.moneytimes.com.br/conteudo-de-marca/o-basico-que-funciona-empiricus-recomenda-acoes-da-petrobras-petr4-no-lugar-da-prio-prio3-em-carteira-de-julho-lbrdlh192/
2025-07-13,MoneyTimes,Da crise ao rali? Ex-diretor do Banco Central destaca 3 fatores que impulsionaram a bolsa no 1º semestre e 7 ativos para investir,https://www.moneytimes.com.br/conteudo-de-marca/da-crise-ao-rali-ex-diretor-do-banco-central-destaca-3-fatores-que-impulsionaram-a-bolsa-no-1o-semestre-e-7-ativos-para-investir-lbrdis468/
2025-07-13,MoneyTimes,Marfrig (MRFG3) eleva participação na BRF (BRFS3) em meio a impasse sobre fusão,https://www.moneytimes.com.br/marfrig-eleva-participacao-na-brf-em-meio-a-impasse-sobre-fusao-lils/
2025-07-12,MoneyTimes,BofA prevê corte na Selic ainda em 2025 e diz em quais ações investir agora,https://www.moneytimes.com.br/bofa-preve-corte-na-selic-ainda-em-2025-e-diz-em-quais-acoes-investir-agora-lils/
2025-07-12,MoneyTimes,Presidente do México afirma ‘ter certeza’ de acordo tarifário com EUA antes de 1º de agosto,https://www.moneytimes.com.br/presidente-do-mexico-afirma-ter-certeza-de-acordo-tarifario-com-eua-antes-de-agosto-lils/
2025-07-12,MoneyTimes,"Tchau, Weg (WEGE3): 5 ações para buscar lucros na semana, segundo Terra Investimentos",https://www.moneytimes.com.br/tchau-weg-wege3-5-acoes-para-buscar-lucros-na-semana-segundo-terra-investimentos-lmrs/
2025-07-12,MoneyTimes,Kraft Heinz (KHC; KHC34) avalia cisão de negócio de alimentos avaliado em até R$ 20 bilhões,https://www.moneytimes.com.br/kraft-heinz-avalia-cisao-de-negocio-de-alimentos-avaliado-em-ate-20-bilhoes-lils/
2025-07-12,MoneyTimes,Retorno acima da Selic: ação varejista já saltou 17% em 2025 e analista defende que o papel ainda tem fôlego,https://www.moneytimes.com.br/conteudo-de-marca/retorno-acima-da-selic-acao-varejista-ja-saltou-17-em-2025-e-analista-defende-que-o-papel-ainda-tem-folego-lbrd11mm005/
2025-07-12,MoneyTimes,"Retaliação ao ‘tarifaço’ de Trump é o principal risco para o setor de saúde, avalia o UBS BB",https://www.moneytimes.com.br/saude-deve-ser-o-setor-mais-impacto-se-brasil-retaliar-tarifaco-de-trump-segundo-o-ubs-bb-lils/
2025-07-12,MoneyTimes,Onde investir: XP aponta os melhores FIIs para o 2º semestre de 2025; confira a lista,https://www.moneytimes.com.br/xp-aponta-os-melhores-fiis-para-o-2o-semestre-de-2025-confira-a-lista-igdl/
