dat_ref,fonte,titulo,link
2025-07-15,Seu Dinheiro,Família Coelho Diniz abocanha mais uma fatia do Grupo Pão de Açúcar (PCAR3); confira os detalhes,https://www.seudinheiro.com/2025/empresas/familia-coelho-diniz-abocanha-mais-uma-fatia-do-grupo-pao-de-acucar-pcar3-confira-os-detalhes-paty-bpad/
2025-07-15,Seu Dinheiro,Os US$ 100 bilhões de Trump: para onde vai a fortuna em investimentos anunciada pelo presidente dos EUA — e vem mais por aí,https://www.seudinheiro.com/2025/internacional/os-us-100-bilhoes-de-trump-para-onde-vai-a-fortuna-anunciada-pelo-presidente-dos-eua-e-vem-mais-por-ai-ccgg/
2025-07-15,Seu Dinheiro,FII Arch Edifícios Corporativos (AIEC11) sai na frente e anuncia recompra de cotas com nova regra da CVM; entenda a operação,https://www.seudinheiro.com/2025/bolsa-dolar/fii-arch-edificios-corporativos-aiec11-sai-na-frente-e-anuncia-recompra-de-cotas-com-nova-regra-da-cvm-entenda-a-operacao-davs/
2025-07-15,Seu Dinheiro,"Putin bate de frente com Trump, ignora ameaça de tarifa e diz que não recua da Ucrânia",https://www.seudinheiro.com/2025/internacional/putin-bate-de-frente-com-trump-ignora-ameaca-de-tarifa-e-diz-que-nao-recua-da-ucrania-gmda/
2025-07-15,Seu Dinheiro,Semana Cripto na berlinda: dissidência republicana desafia Trump e trava votação do Genius Act,https://www.seudinheiro.com/2025/criptomoedas/semana-cripto-na-berlinda-dissidencia-republicana-desafia-trump-e-trava-votacao-do-genius-act-gcsb/
2025-07-15,Seu Dinheiro,As apostas do BTG para o Ibovespa em setembro; confira quem pode entrar e sair da carteira,https://www.seudinheiro.com/2025/bolsa-dolar/as-apostas-do-btg-para-o-ibovespa-em-setembro-confira-quem-pode-entrar-e-sair-da-carteira-paty/
2025-07-15,Seu Dinheiro,"Carteira ESG: sai Mercado Livre (MELI34), entra Rede D’Or (RDOR3); veja as escolhas do BTG que aliam lucro e sustentabilidade em julho",https://www.seudinheiro.com/2025/empresas/carteira-esg-sai-mercado-livre-meli34-entra-rede-dor-rdor3-veja-as-escolhas-do-btg-que-aliam-lucro-e-sustentabilidade-em-julho-gcsb/
2025-07-15,Seu Dinheiro,"Copom vai cortar juros ainda em 2025 para seguir o Fed, mas não vai conseguir controlar a inflação, diz Fabio Kanczuk, do ASA",https://www.seudinheiro.com/2025/economia/copom-vai-cortar-juros-ainda-em-2025-para-seguir-o-fed-mas-nao-vai-conseguir-controlar-a-inflacao-diz-fabio-kanczuk-do-asa-mlim/
2025-07-15,Seu Dinheiro,MRV (MRVE3) lidera as quedas do Ibovespa: o que desagradou os analistas na prévia operacional do 2T25?,https://www.seudinheiro.com/2025/empresas/mrv-mrve3-lidera-as-quedas-do-ibovespa-o-que-desagradou-os-analistas-na-previa-operacional-do-2t25-bdap/
2025-07-15,Seu Dinheiro,Fabio Kanczuk vê chance de recessão nos EUA e aqui estão os três dados que o mercado está negligenciando com otimismo cego,https://www.seudinheiro.com/2025/internacional/fabio-kanczuk-ve-chance-de-recessao-nos-eua-e-aqui-estao-os-tres-dados-que-o-mercado-esta-negligenciado-com-otimismo-cego-mlim/
2025-07-15,Seu Dinheiro,"Na guerra de tarifas de Trump, vai sobrar até para o Google. Entenda o novo alerta da XP sobre as big techs",https://www.seudinheiro.com/2025/bolsa-dolar/na-guerra-de-tarifas-de-trump-vai-sobrar-para-ate-para-o-google-entenda-o-novo-alerta-da-xp-sobre-as-big-techs-paty/
2025-07-15,Seu Dinheiro,Dividendos altíssimos da Petrobras (PETR4) são coisa do passado? Confira nova petrolífera em destaque,https://www.seudinheiro.com/2025/select/dividendos-altissimos-da-petrobras-petr4-sao-coisa-do-passado-confira-nova-petrolifera-em-destaque-lbrdbb013/
2025-07-15,Seu Dinheiro,Ressaca do recorde: Bitcoin (BTC) chega a cair 6% em meio às correções; veja preços nesta terça-feira (15),https://www.seudinheiro.com/2025/criptomoedas/ressaca-do-recorde-bitcoin-btc-chega-a-cair-6-em-meio-as-correcoes-veja-precos-nesta-terca-feira-15-gcsb/
2025-07-15,Seu Dinheiro,"Lula tira do papel a Lei da Reciprocidade para enfrentar Trump, mas ainda aposta na diplomacia",https://www.seudinheiro.com/2025/economia/lula-tira-do-papel-a-lei-da-reciprocidade-para-enfrentar-trump-mas-ainda-aposta-na-diplomacia-gmda/
2025-07-15,Seu Dinheiro,Lula ou Tarcísio em 2026? Dólar indica quem a ‘Faria Lima’ acredita ter mais chances e especialistas do ASA explicam o porquê,https://www.seudinheiro.com/2025/politica/lula-ou-tarcisio-em-2026-dolar-indica-quem-a-faria-lima-acredita-ter-mais-chances-e-especialistas-do-asa-explicam-o-porque-mlim/
2025-07-15,Seu Dinheiro,Bitcoin (BTC) a US$ 121 mil é só a ‘ponta do iceberg’: criptomoeda pode alcançar até US$ 145 mil e impulsionar outros 18 ativos digitais,https://www.seudinheiro.com/2025/select/bitcoin-btc-us-121-mil-ponta-do-iceberg-criptomoeda-pode-alcancar-us-145-mil-impulsionar-outros-18-ativos-digitais-lbrdlc642/
2025-07-15,Seu Dinheiro,"Ibovespa come poeira enquanto S&P 500 faz história aos 6.300 pontos; dólar cai a R$ 5,5581",https://www.seudinheiro.com/2025/bolsa-dolar/ibovespa-come-poeira-enquanto-sp-500-faz-historia-aos-6-300-pontos-confira-o-que-mexe-com-a-bolsa-e-dolar-ccgg/
2025-07-15,Seu Dinheiro,"Trump ajuda e aprovação de Lula avança, enquanto brasileiros avaliam tarifa como ‘injustificada’, mostra pesquisa",https://www.seudinheiro.com/2025/economia/trump-ajuda-e-aprovacao-de-lula-avanca-enquanto-brasileiros-avaliam-tarifa-como-injustificada-mostra-pesquisa-davs/
2025-07-15,Seu Dinheiro,Marfrig (MRFG3) concentra 75% das ações nas mãos dos controladores; saiba o que está por trás desse movimento,https://www.seudinheiro.com/2025/empresas/marfrig-concentra-75-das-acoes-nas-maos-dos-controladores-saiba-por-que-esse-movimento-chama-atencao-e-o-que-esta-por-tras-dele-mqim-paty/
2025-07-15,Seu Dinheiro,"Gamma Quant, inteligência artificial que busca gerar média de até R$ 1.000 por dia, será relançado em julho; veja como testar",https://www.seudinheiro.com/2025/patrocinado/optme/gamma-quant-inteligencia-artificial-que-busca-gerar-media-de-ate-r-1-000-por-dia-sera-relancado-em-julho-veja-como-testar-lbrd7rb082/
