dat_ref,fonte,titulo,link
2025-07-13,Valor Investe,Governo vai regulamentar por decreto lei da reciprocidade tarifária,https://valorinveste.globo.com/mercados/brasil-e-politica/noticia/2025/07/13/governo-vai-regulamentar-por-decreto-lei-da-reciprocidade-tarifria.ghtml
2025-07-13,Valor Investe,Tarifa de 50% para o Brasil não tira viés otimista para ativos brasileiros,https://valorinveste.globo.com/mercados/noticia/2025/07/13/tarifa-de-50percent-para-o-brasil-nao-tira-vies-otimista-para-ativos-brasileiros.ghtml
2025-07-13,Valor Investe,"Com IPI zero, carros de entrada podem ter desconto de até R$ 12 mil, diz Alckmin",https://valorinveste.globo.com/mercados/brasil-e-politica/noticia/2025/07/13/com-ipi-zero-carros-de-entrada-podem-ter-desconto-de-at-r-12-mil-diz-alckmin.ghtml
2025-07-13,Valor Investe,"Lula pede união e relação diplomática a Trump, sem 'briga tarifária'",https://valorinveste.globo.com/mercados/brasil-e-politica/noticia/2025/07/13/lula-pede-uniao-e-relacao-diplomatica-a-trump-sem-briga-tarifaria.ghtml
2025-07-13,Valor Investe,Dados de inflação e varejo nos EUA são os destaques da semana; Tarifas de Trump seguem no foco,https://valorinveste.globo.com/mercados/internacional-e-commodities/noticia/2025/07/13/dados-de-inflacao-e-varejo-nos-eua-sao-os-destaques-da-semana-tarifas-de-trump-seguem-no-foco.ghtml
2025-07-13,Valor Investe,Brasileiros apostam na venda de usados para ganhar 'extra' de até R$ 2 mil; veja itens favoritos,https://valorinveste.globo.com/objetivo/organize-as-contas/noticia/2025/07/13/brasileiros-apostam-na-venda-de-usados-para-ganhar-extra-de-ate-r-2-mil-veja-itens-favoritos.ghtml
2025-07-13,Valor Investe,Lista de investimentos mais buscados tem um novo (velho) líder; veja ranking,https://valorinveste.globo.com/produtos/renda-fixa/cdb/noticia/2025/07/13/lista-de-investimentos-mais-buscados-tem-um-novo-velho-lider-veja-ranking.ghtml
2025-07-12,Valor Investe,"Ninguém acerta as seis dezenas da Mega-Sena 2887, e prêmio vai a R$ 46 milhões; veja números sorteados",https://valorinveste.globo.com/loterias/noticia/2025/07/12/resultado-da-mega-sena-2887-hoje-divulgado-veja-numeros-sorteados.ghtml
2025-07-12,Valor Investe,Macron pede que UE se prepare para reagir a tarifas de Trump,https://valorinveste.globo.com/mercados/internacional-e-commodities/noticia/2025/07/12/macron-pede-que-ue-se-prepare-para-reagir-a-tarifas-de-trump.ghtml
2025-07-12,Valor Investe,PT aciona STF contra Tarcísio por suposta tentativa de liberar viagem de Bolsonaro aos EUA,https://valorinveste.globo.com/mercados/brasil-e-politica/noticia/2025/07/12/pt-aciona-stf-contra-tarcsio-por-suposta-tentativa-de-liberar-viagem-de-bolsonaro-aos-eua.ghtml
